Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
running,2019-07-19 05:21:10,false,"Greeley Running","3.77","685","00:45:03","150","178","3.6","159","235","11:57","8:46","97","90","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:53.68","8","0.0"
running,2019-07-17 04:58:51,false,"Greeley Running","3.01","511","00:33:08","146","164","3.3","163","170","11:00","9:53","56","55","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:09.83","4","0.0"
running,2019-07-13 05:35:07,false,"Greeley Running","6.01","1,077","01:05:11","156","177","5.0","164","175","10:51","9:15","134","166","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:10.53","7","0.0"
running,2019-06-30 05:41:56,false,"Greeley Running","10.01","1,601","01:54:59","146","168","4.0","165","174","11:29","8:54","224","246","0.85","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:14.31","11","0.0"
running,2019-06-29 06:31:11,false,"Larimer County Running","7.06","1,921","02:59:37","143","179","4.2","116","233","25:25","8:46","2,252","2,223","0.54","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:24.86","8","0.0"
running,2019-06-27 05:21:23,false,"Greeley Running","3.35","544","00:37:46","141","172","3.1","161","183","11:16","7:19","138","122","0.88","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:12.93","9","0.0"
running,2019-06-25 07:05:22,false,"New York Running","5.01","909","00:54:04","156","176","4.6","167","222","10:48","7:36","29","39","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:04.56","6","0.0"
running,2019-06-24 06:22:16,false,"New York Running","3.02","508","00:31:21","150","164","3.4","165","171","10:24","9:15","80","54","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:10.83","4","0.0"
running,2019-06-22 05:24:56,false,"Provo Running","10.01","1,764","01:48:07","153","175","5.0","165","175","10:48","9:08","439","278","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:10.55","11","0.0"
running,2019-06-20 05:18:09,false,"Provo Running","4.01","698","00:44:32","145","171","3.6","163","174","11:06","9:18","91","68","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:08.99","5","0.0"
running,2019-06-19 05:27:19,false,"Provo Running","6.02","1,111","01:03:23","158","176","4.9","166","178","10:32","8:38","289","217","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:12.49","7","0.0"
running,2019-06-17 05:29:30,false,"Greeley Running","5.01","834","00:55:25","141","166","3.4","166","182","11:03","9:04","95","120","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:10.37","6","0.0"
running,2019-06-16 06:42:47,false,"Greeley Running","6.01","1,067","01:03:32","153","172","4.7","166","177","10:34","8:23","152","155","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:11.19","7","0.0"
running,2019-06-13 05:24:45,false,"Greeley Running","4.02","713","00:46:51","144","177","3.4","158","182","11:39","7:46","167","174","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:08.91","9","0.0"
